Title,Location,Price,Area,Room,Brokerage Firm,Brokerage Firm link
Apartment Stolwijkstraat,            1059 XS Amsterdam (Hoofddorppleinbuurt)        ,"                €2,500 per month            ",102 m²,4 rooms,HB Housing ,https://www.pararius.com/real-estate-agents/amsterdam/hb-housing-amsterdam
Apartment Boutenburg,            1068 ZE Amsterdam (Osdorp-Oost)        ,"                €1,650 per month            ",67 m²,3 rooms,HB Housing ,https://www.pararius.com/real-estate-agents/amsterdam/hb-housing-amsterdam
Apartment Nieuwe Achtergracht,            1018 WS Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",115 m²,4 rooms,Koops Makelaardij Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/koops-makelaardij-amsterdam-2
Apartment Deurloostraat,            1078 JG Amsterdam (Scheldebuurt)        ,"                €4,000 per month            ",90 m²,3 rooms,I-housing ,https://www.pararius.com/real-estate-agents/amsterdam/i-housing
Apartment Titiaanstraat,            1077 RL Amsterdam (Apollobuurt)        ,"                €5,000 per month            ",171 m²,7 rooms,Von Poll Real Estate - Zuidas ,https://www.pararius.com/real-estate-agents/amsterdam/von-poll-real-estate-zuidas
Apartment Javakade 142,            1019 RW Amsterdam (Oostelijk Havengebied)        ,"                €2,250 per month            ",123 m²,4 rooms,Isaak Makelaardij o.g. B.V. ,https://www.pararius.com/real-estate-agents/amsterdam/isaak-makelaardij-o-g-b-v-amsterdam
Apartment Noordermarkt 13 2,            1015 MX Amsterdam (Jordaan)        ,"                €3,500 per month            ",122 m²,3 rooms,Holland Home Management ,https://www.pararius.com/real-estate-agents/amsterdam/holland-home-management
Apartment Leliegracht,            1015 DE Amsterdam (Grachtengordel-West)        ,"                €2,450 per month            ",80 m²,3 rooms,Expatservice Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/expatservice-amsterdam
Apartment Oostenburgervoorstraat,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,950 per month            ",140 m²,4 rooms,Oei Housing Amsterdam - Expat Apartments ,https://www.pararius.com/real-estate-agents/amsterdam/oei-housing-amsterdam-expat-apartments
Apartment Van Ostadestraat,            1072 TG Amsterdam (Nieuwe Pijp)        ,"                €5,500 per month            ",180 m²,5 rooms,Brixt ,https://www.pararius.com/real-estate-agents/amsterdam-duivendrecht/brixt
Apartment Vechtstraat 184 HS,            1079 JW Amsterdam (Rijnbuurt)        ,"                €1,850 per month            ",92 m²,3 rooms,Rent a Stone ,https://www.pararius.com/real-estate-agents/den-haag/rent-a-stone
Apartment Overtoom 545 C+D,            1054 LK Amsterdam (Overtoomse Sluis)        ,"                €9,500 per month            ",183 m²,4 rooms,AmsterHomes ,https://www.pararius.com/real-estate-agents/amsterdam/amsterhomes
Apartment Weissenbruchstraat,            1058 KM Amsterdam (Hoofddorppleinbuurt)        ,"                €3,150 per month            ",110 m²,4 rooms,Relocation-Amsterdam ,https://www.pararius.com/real-estate-agents/amsterdam/relocation-amsterdam
House Buikslotermeerdijk,            1025 WH Amsterdam (Elzenhagen)        ,"                €3,100 per month            ",128 m²,7 rooms,Bridgepartners ,https://www.pararius.com/real-estate-agents/schiphol/bridgepartners
Apartment Singel,            1016 AA Amsterdam (Grachtengordel-West)        ,"                €2,850 per month            ",81 m²,3 rooms,Dutch Real Estate Company ,https://www.pararius.com/real-estate-agents/amsterdam/dutch-real-estate-company
Apartment Onstein,            1082 KM Amsterdam (Buitenveldert-West)        ,"                €1,900 per month            ",85 m²,2 rooms,Friedmann Housing ,https://www.pararius.com/real-estate-agents/amsterdam/friedmann-housing
Apartment KNSM-laan 685,            1019 LH Amsterdam (Oostelijk Havengebied)        ,"                €1,950 per month            ",106 m²,3 rooms,Expat Rentals ,https://www.pararius.com/real-estate-agents/amsterdam/expat-rentals
Apartment Overschiestraat,            1062 HN Amsterdam (Westlandgracht)        ,"                €1,625 per month            ",65 m²,3 rooms,Vreeken Bast Real Estate ,https://www.pararius.com/real-estate-agents/amsterdam/vreeken-bast-real-estate
House Dilsenstraat,            1066 KC Amsterdam (Sloter-/Riekerpolder)        ,"                €2,125 per month            ",141 m²,5 rooms,Expathousing.com (Amsterdam) ,https://www.pararius.com/real-estate-agents/amsterdam/expathousing-com-amsterdam
